"paradumi","","привычки"
"veiksme","","удача"
"neveiksme","","неудача"
"ikdiena","","повседневность"
"dzīvesveids","","образ жизни"
"notikums","","событие"
"pieredze","","опыт"
"daba","","природа"
"vide","","среда"
"veselība","","здоровье"
"slimība","","болезнь"
"drošība","","безопасность"
"risks","","риск"
